service_id,date,exception_type
9946,20200413,2
8669,20200418,1
8669,20200516,1
12593,20200425,1
12593,20200508,1
12593,20200509,1
4355,20200412,2
4355,20200419,2
4355,20200426,2
4355,20200503,2
4355,20200510,2
1137,20200521,1
1137,20200411,2
1137,20200425,2
1137,20200502,2
1137,20200509,2
9178,20200507,1
9178,20200511,1
9178,20200512,1
9178,20200513,1
9178,20200514,1
9178,20200515,1
9178,20200518,1
9178,20200519,1
9178,20200520,1
9178,20200413,2
9178,20200501,2
9178,20200508,2
9178,20200309,2
9178,20200310,2
9178,20200311,2
9178,20200312,2
9178,20200406,2
9178,20200407,2
9178,20200408,2
9178,20200409,2
9177,20200309,1
9177,20200310,1
9177,20200311,1
9177,20200312,1
9177,20200406,1
9177,20200407,1
9177,20200408,1
9177,20200409,1
9177,20200504,1
9177,20200505,1
9177,20200506,1
12594,20200425,1
12594,20200508,1
12594,20200509,1
12595,20200521,1
12595,20200418,1
12595,20200516,1
12596,20200516,1
12596,20200418,1
12596,20200521,1
12598,20200413,1
12598,20200417,1
12598,20200418,1
12598,20200419,1
12598,20200521,1
12598,20200222,1
12598,20200223,1
12598,20200229,1
12598,20200301,1
12598,20200516,1
12598,20200517,1
12598,20200424,1
12598,20200410,1
12598,20200426,1
12598,20200503,1
12598,20200510,1
12598,20200412,2
508,20200413,2
508,20200501,2
508,20200508,2
6291,20200413,2
6291,20200501,2
6291,20200508,2
12599,20200413,1
1144,20200413,2
1144,20200501,2
1144,20200508,2
12601,20200515,1
6292,20200413,1
6292,20200412,2
2900,20200420,1
2900,20200421,1
2900,20200422,1
2900,20200423,1
2900,20200424,1
2900,20200414,1
2900,20200415,1
2900,20200416,1
2900,20200417,1
2900,20200518,1
2900,20200519,1
2900,20200520,1
2901,20200515,1
2901,20200430,2
12602,20200412,2
12602,20200426,2
12602,20200510,2
12603,20200414,2
12603,20200430,2
12603,20200507,2
1737,20200430,1
1737,20200507,1
1737,20200520,1
1737,20200501,2
1737,20200508,2
12604,20200521,1
12605,20200417,1
12605,20200418,1
12605,20200424,1
12605,20200515,1
12605,20200516,1
12605,20200413,1
12605,20200414,1
12605,20200415,1
12605,20200416,1
12605,20200419,1
12605,20200420,1
12605,20200421,1
12605,20200422,1
12605,20200423,1
12605,20200426,1
12605,20200427,1
12605,20200428,1
12605,20200429,1
12605,20200430,1
12605,20200503,1
12605,20200504,1
12605,20200505,1
12605,20200506,1
12605,20200507,1
12605,20200510,1
