route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCE1506035,9946,OCESN037071R0100119821,"37071",1,,
OCE1506035,8669,OCESN003191F020027311,"3191",1,,
OCE1506035,12593,OCESN003191F06006~NIR54925,"3191",1,,
OCE1506035,2352,OCESN003191F010017312,"3191",1,,
OCE1506035,4355,OCESN003117F100107247,"3117",1,,
OCE1506035,1137,OCESN003117F070077248,"3117",1,,
OCE1506035,9178,OCESN003115F190197240,"3115",1,,
OCE1506035,9177,OCESN003115F220227234,"3115",1,,
OCE1506035,12594,OCESN003129F13013~NIR54915,"3129",1,,
OCE1506035,4054,OCESN003113F070077225,"3113",1,,
OCE1506035,12595,OCESN003113F200207224,"3113",1,,
OCE1506035,12596,OCESN003115F330337237,"3115",1,,
OCE1506035,12597,OCESN003131F18018~NIB54921,"3131",1,,
OCE1506035,2352,OCESN003115F290297236,"3115",1,,
OCE1506035,4355,OCESN003115F310317235,"3115",1,,
OCE1506035,12598,OCESN003131F16016~NIB54920,"3131",1,,
OCE1506035,508,OCESN003127F030037287,"3127",1,,
OCE1506035,1137,OCESN003129F040047291,"3129",1,,
OCE1506035,6291,OCESN003129F110117292,"3129",1,,
OCE1506035,12599,OCESN003125F250257278,"3125",1,,
OCE1506035,1144,OCESN003125F220227280,"3125",1,,
OCE1506035,12600,OCESN003127F080087286,"3127",1,,
OCE1506035,12601,OCESN003131F160167301,"3131",1,,
OCE1506035,5484,OCESN003131F130137303,"3131",1,,
OCE1506035,6292,OCESN003129F070077294,"3129",1,,
OCE1506035,2900,OCESN003119F110117258,"3119",1,,
OCE1506035,2901,OCESN003119F120127259,"3119",1,,
OCE1506035,12602,OCESN003121F040047264,"3121",1,,
OCE1506035,12603,OCESN003117F090097250,"3117",1,,
OCE1506035,1737,OCESN003117F050057251,"3117",1,,
OCE1506035,6426,OCESN003123F120127273,"3123",1,,
OCE1506035,2148,OCESN003123F110117274,"3123",1,,
OCE1506035,12604,OCESN003121F060067266,"3121",1,,
OCE1506035,12605,OCESN003123F070077271,"3123",1,,
OCE1506035,508,OCESN003105F300307174,"3105",1,,
OCE1506035,12606,OCESN003113F20020~NIR54879,"3113",1,,
OCE1506035,7237,OCESN003105F400407176,"3105",1,,
OCE1506035,12607,OCESN003109F38038~NIR54873,"3109",1,,
OCE1506035,12608,OCESN003109F39039~NIB54871,"3109",1,,
OCE1506035,12609,OCESN003109F22022~NIB54874,"3109",1,,
OCE1506035,6909,OCESN003107F170177186,"3107",1,,
OCE1506035,12610,OCESN003117F14014~NIR54888,"3117",1,,
OCE1506035,12611,OCESN003115F33033~NIB54887,"3115",1,,
OCE1506035,12612,OCESN003113F14014~NIB54882,"3113",1,,
